2026-04-12 17:31:46 | INFO     | app.main | Verath starting up...
2026-04-12 17:31:46 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:31:46 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:31:46 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:31:46 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:31:46 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:32:05 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:32:05 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:32:05 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:32:15 | INFO     | app.main | Verath starting up...
2026-04-12 17:32:15 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:32:15 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:32:15 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:32:15 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:32:15 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:32:43 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:32:43 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:32:43 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:32:54 | INFO     | app.main | Verath starting up...
2026-04-12 17:32:54 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:32:54 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:32:54 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:32:54 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:32:54 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:33:15 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:33:15 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:33:15 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:33:26 | INFO     | app.main | Verath starting up...
2026-04-12 17:33:26 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:33:26 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:33:26 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:33:26 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:33:26 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:33:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:34:04 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:34:04 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:34:04 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:34:14 | INFO     | app.main | Verath starting up...
2026-04-12 17:34:14 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:34:14 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:34:14 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:34:14 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:34:14 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:34:14 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:34:14 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:34:14 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:34:24 | INFO     | app.main | Verath starting up...
2026-04-12 17:34:24 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:34:24 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:34:24 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:34:24 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:34:24 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:34:24 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:34:24 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:34:24 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:34:34 | INFO     | app.main | Verath starting up...
2026-04-12 17:34:34 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:34:34 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:34:34 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:34:34 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:34:34 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:34:34 | INFO     | Verath | Getting timeline for user chetan0e
2026-04-12 17:34:34 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:34:34 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:34:34 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:34:34 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:34:47 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:34:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:35:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:35:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:35:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:35:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:35:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:35:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:36:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:36:04 | INFO     | Verath | Recording audio for user chetan0e
2026-04-12 17:36:14 | INFO     | Verath | Transcribing audio: C:\Users\Aris\Desktop\project\Verath\backend\recording_1775995564586.wav
2026-04-12 17:36:16 | INFO     | faster_whisper | Processing audio with duration 00:05.000
2026-04-12 17:36:16 | ERROR    | Verath | Error processing audio: Library cublas64_12.dll is not found or cannot be loaded
Traceback (most recent call last):
  File "C:\Users\Aris\Desktop\project\Verath\backend\app\services\pipeline.py", line 27, in process_audio
    text = transcribe(file_path)
  File "C:\Users\Aris\Desktop\project\Verath\backend\app\services\transcription.py", line 15, in transcribe
    segments, _ = model.transcribe(audio_path)
                  ~~~~~~~~~~~~~~~~^^^^^^^^^^^^
  File "C:\Users\Aris\Desktop\project\Verath\backend\.venv\Lib\site-packages\faster_whisper\transcribe.py", line 942, in transcribe
    ) = self.detect_language(
        ~~~~~~~~~~~~~~~~~~~~^
        features=features[..., seek:],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        language_detection_segments=language_detection_segments,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        language_detection_threshold=language_detection_threshold,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\Aris\Desktop\project\Verath\backend\.venv\Lib\site-packages\faster_whisper\transcribe.py", line 1819, in detect_language
    encoder_output = self.encode(
        pad_or_trim(features[..., i : i + self.feature_extractor.nb_max_frames])
    )
  File "C:\Users\Aris\Desktop\project\Verath\backend\.venv\Lib\site-packages\faster_whisper\transcribe.py", line 1400, in encode
    return self.model.encode(features, to_cpu=to_cpu)
           ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
RuntimeError: Library cublas64_12.dll is not found or cannot be loaded
2026-04-12 17:36:16 | INFO     | Verath | Cleaned up temp file: C:\Users\Aris\Desktop\project\Verath\backend\recording_1775995564586.wav
2026-04-12 17:36:16 | ERROR    | Verath | Transcription error: Failed to process audio: Library cublas64_12.dll is not found or cannot be loaded
2026-04-12 17:36:16 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:36:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:36:25 | INFO     | Verath | Getting timeline for user chetan0e
2026-04-12 17:36:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:36:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:36:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:37:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:37:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:37:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:37:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:37:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:37:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:38:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:38:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:38:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:38:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:38:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:38:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:39:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:39:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:39:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:39:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:39:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:39:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:40:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:40:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:40:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:40:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:40:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:40:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:41:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:41:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:41:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:41:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:41:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:41:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:42:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:42:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:42:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:42:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:42:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:42:51 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:43:01 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:43:11 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:43:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:43:31 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:43:41 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:43:43 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:43:43 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:43:43 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:44:20 | INFO     | app.main | Verath starting up...
2026-04-12 17:44:20 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-12 17:44:20 | INFO     | apscheduler.scheduler | Added job "check_and_fire_reminders" to job store "default"
2026-04-12 17:44:20 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-12 17:44:20 | INFO     | app.main | Reminder scheduler started (interval: 15 min)
2026-04-12 17:44:20 | INFO     | app.workers.background_worker | Background worker started
2026-04-12 17:44:20 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:44:20 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:44:20 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:44:21 | INFO     | Verath | Extracting insights for user chetan0e
2026-04-12 17:44:34 | INFO     | app.main | Verath shut down cleanly
2026-04-12 17:44:34 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-12 17:44:34 | INFO     | app.workers.background_worker | Background worker shutting down
2026-04-12 17:44:45 | INFO     | app.main | Verath starting up...
